U,L
"Good evening, I'm Harrison Ford.",use.social.convention
And I'm Ryan Gosling.,use.social.convention
BOTH: Welcome to the Graham Norton Show.,use.social.convention
CHEERING AND APPLAUSE,use.social.convention
"Oh, oh, oh, oh!",use.social.convention
CHEERING AND APPLAUSE,use.social.convention
"Oh, hello, what a lovely welcome back!",use.social.convention
Thank you very much everybody.,use.social.convention
"Hello, and welcome!",use.social.convention
Did you all have a nice summer?,closed.question
AUDIENCE: Yes!,respond.agree
I know some people are still on holiday.,give.statement
"They hadn't planned it that way, it's just they had",relax.atmosphere
tickets with Ryanair.,relax.atmosphere
LAUGHTER,use.social.convention
"18,000 further cancellations announced this week.",relax.atmosphere
"I mean, the whole thing could cost Ryanair ?17",relax.atmosphere
million in compensation.,relax.atmosphere
"I mean, they're hoping to make that back by",relax.atmosphere
"selling two packets of Pringles on their next flight, but, still...",relax.atmosphere
LAUGHTER,use.social.convention
"The good news, though is that Ryanair customer services have been",relax.atmosphere
very sympathetic to passengers.,relax.atmosphere
"You know, advising them to use the exits here, here and here.",relax.atmosphere
LAUGHTER AND APPLAUSE,use.social.convention
"You'll all be aware of the big news, of course.",relax.atmosphere
Twitter are trialling a plan for a new 280 character limit.,relax.atmosphere
280 characters!,relax.atmosphere
It's more than you get in Game of Thrones.,relax.atmosphere
LAUGHTER,use.social.convention
People will now be able to tweet their followers twice as many of,relax.atmosphere
their thoughts...,relax.atmosphere
LAUGHTER,use.social.convention
Uh-oh...,relax.atmosphere
"Hey, it might keep him busy so he won't have time",relax.atmosphere
to start World War three!,relax.atmosphere
Tensions with North Korea continue.,relax.atmosphere
This week leader Kim Jong-un said Donald Trump was,relax.atmosphere
"""Mentally deranged"".",recall
"Hello, kettle?",relax.atmosphere
LAUGHTER,use.social.convention
I mean...,relax.atmosphere
That's like Trump accusing Kim Jong-un of having weird hair!,relax.atmosphere
Let's get some guests on!,use.social.convention
Later we'll have music from pop icons Bananarama!,use.social.convention
CHEERING,use.social.convention
Yes!,use.social.convention
"They're back, Bananarama, and they'll be performing",use.social.convention
Cruel Summer.,use.social.convention
"But first, this Aussie star went from Neighbours' Ramsay Street",use.social.convention
to The Wolf of Wall Street and is now one of the most in-demand,use.social.convention
"actors in Hollywood - it's Margot Robbie, everybody!",use.social.convention
CHEERING,use.social.convention
It is Margot Robbie.,use.social.convention
Hello!,use.social.convention
