U,L
This programme contains some strong language.,use.social.convention
"Good evening, everyone - my name is Tom Cruise, and you're",use.social.convention
watching The Graham Norton Show!,use.social.convention
CHEERING AND APPLAUSE,use.social.convention
"Oh, oh, oh!",use.social.convention
CHEERING AND APPLAUSE,use.social.convention
For me? Too much!,use.social.convention
"Hello everybody, hello and welcome.",use.social.convention
"We're very excited, yes  - Tom Cruise is here.",use.social.convention
CHEERING AND APPLAUSE,use.social.convention
Tom is taking a break from filming Mission: Impossible 6 to come along,give.statement
with some of his co-stars for a chat.,give.statement
"Of course, in the films, Tom's elite band of secret",give.statement
agents take on jobs that seem utterly impossible.,give.opinion
"Utterly impossible, like, I don't know...",give.opinion
Persuading a Ukip leader to resign.,relax.atmosphere
That kind of thing.,relax.atmosphere
LAUGHTER,use.social.convention
Beating Ant and Dec at the National Television Awards.,relax.atmosphere
That sort of thing.,relax.atmosphere
"Mind you, sometimes the impossible can happen.",relax.atmosphere
"Can you believe, Donald Trump has been American President",relax.atmosphere
for a whole year?!,relax.atmosphere
AUDIENCE OOOHS,use.social.convention
"It seems longer, doesn't it?",closed.question
Were there more months in this last year?,closed.question
LAUGHTER,use.social.convention
Were there extra months?,closed.question
It's also Donald Trump's 13th wedding anniversary.,give.statement
Thirteen years!,relax.atmosphere
Unlucky for some!,relax.atmosphere
It certainly is for Melania.,relax.atmosphere
Here are the happy couple.,relax.atmosphere
LAUGHTER,use.social.convention
That's just lovely...,relax.atmosphere
The traditional gift for a 13th wedding anniversary is lace.,give.statement
I think you can tell what Melania's thinking.,relax.atmosphere
"""Please God, a tablecloth, not lingerie"".",recall
"On the subject of happy couples, congratulations to Princess Eugenie",relax.atmosphere
who got engaged this week.,relax.atmosphere
CHEERING AND APPLAUSE,use.social.convention
"It's a good thing, it's happy news!",relax.atmosphere
Yay!,relax.atmosphere
Her boyfriend Jack proposed to her while they were on holiday.,give.statement
Doesn't really narrow it down.,relax.atmosphere
LAUGHTER,use.social.convention
"""Is this a holiday?""",recall
"""Yes, this is a holiday.""",recall
"Though, to be fair, it is the third most exciting piece of Royal news",give.opinion
"since Harry's engagement, and Prince William shaving his head.",give.opinion
LAUGHTER,use.social.convention
I think it looks great.,give.opinion
"No, it looks good.",give.opinion
And his kids can have fun painting it in time for Easter.,relax.atmosphere
LAUGHTER,use.social.convention
"I believe that's called a 'number one all-over',",recall
that's what that's called.,give.statement
"Which, co-incidentally, was what Donald Trump wanted",relax.atmosphere
for an anniversary present.,relax.atmosphere
LAUGHTER,use.social.convention
"It's clever, it's clever!",relax.atmosphere
APPLAUSE,use.social.convention
Let's get some guests on!,relax.atmosphere
Later we'll have music and chat from chart-topping Paloma Faith...,use.social.convention
CHEERING,use.social.convention
But first - he's one of our most successful,use.social.convention
"comic exports with cult hits Spaced, Shaun of the Dead and Hot Fuzz,",use.social.convention
now he's Hollywood's hottest geek - please welcome Simon Pegg everybody!,use.social.convention
CHEERING AND APPLAUSE,use.social.convention
There he is.,use.social.convention
Hello!,use.social.convention
Suited and booted.,use.social.convention
Lovely.,use.social.convention
"From the Man of Steel to the Man from UNCLE,",use.social.convention
"he's the hottest thing to come out of Jersey - is it a bird,",use.social.convention
is it a plane..?,use.social.convention
"No, it's Henry Cavill!",use.social.convention
CHEERING AND APPLAUSE,use.social.convention
Here he is!,use.social.convention
"Hello, Henry.",use.social.convention
Have a seat.,use.social.convention
You know him.,use.social.convention
This Swedish actress is fast making a name for herself in films,use.social.convention
"such as Girl on a Train, Florence Foster Jenkins",use.social.convention
and The Greatest Showman - it's a first-time welcome to Rebecca,use.social.convention
Ferguson!,use.social.convention
CHEERING AND APPLAUSE,use.social.convention
Lovely to see you!,use.social.convention
"Welcome, welcome, have a seat.",use.social.convention
"And he's a true Hollywood great, and a man on a mission...",use.social.convention
Please welcome our favourite Top Gun...,use.social.convention
It is Mr Tom Cruise!,use.social.convention
CHEERING AND APPLAUSE,use.social.convention
MISSION IMPOSSIBLE THEME TUNE PLAYS,use.social.convention
Good to see you.,use.social.convention
CHEERING AND APPLAUSE,use.social.convention
"Hi, man.",use.social.convention
"Very nice, very nice, professional, professional,",use.social.convention
pretending not to know them at all!,use.social.convention
So this is weird.,give.opinion
"We've never had this before, people who are actually making",give.opinion
the movie that they've come on to talk about.,give.opinion
We shout all day.,relax.atmosphere
Were you all on set today?,closed.question
We've been at work today.,respond.agree
All of us were on set filming.,respond.agree
"What were you doing, running or talking?",closed.question
LAUGHTER,use.social.convention
"Personally, I injected a man in the neck with a traquiliser,",recall
"put him in prison and got kicked in the head by Henry,",recall
and that was my day.,recall
That sounds like more than a day.,relax.atmosphere
"So Henry, we know what you did.",give.statement
I kicked him in the head.,recall
Very good.,relax.atmosphere
That wasn't on camera!,relax.atmosphere
"No, no that wasn't work, that was in the trailers.",relax.atmosphere
"Rebecca, were you on today?",closed.question
"Oh, yes.",respond.agree
"I actually, I'm going to stand up.",relax.atmosphere
"I had this pose today with a semiautomatic rifle,",relax.atmosphere
with my belly like this.,relax.atmosphere
Shooting bad guys.,relax.atmosphere
Six months pregnant.,relax.atmosphere
I'm glad you said that because I wasn't going to say anything!,relax.atmosphere
Six months pregnant!,give.statement
That's what gets men in trouble.,relax.atmosphere
You're six months pregnant?,closed.question
"I am, I don't know what happened.",respond.agree
I could guess!,relax.atmosphere
"Six months ago, yes.",respond.agree
What were you doing today?,closed.question
I was just shooting guns and having fun.,respond.agree
Stuff.,relax.atmosphere
"Stuff, shooting guns.",relax.atmosphere
"Where are you, are you nearly finished?",closed.question
I don't know.,deflection
Are we?,closed.question
We hope so.,respond.agree
"You've been filming since when, last year?",closed.question
Last March or April?,closed.question
