U,L
"Good evening, everybody.",use.social.convetion
This is Matthew McConaughey saying welcome to the Graham Norton Show.,use.social.convetion
CHEERING AND APPLAUSE,use.social.convetion
CHEERING AND APPLAUSE,use.social.convetion
Oh!,relax.atmosphere
Wow!,relax.atmosphere
I jumped!,relax.atmosphere
"Oh, I'm keen! I'm very keen! Hello!",use.social.convetion
CHEERING,use.social.convetion
Good evening!,use.social.convetion
"Yes, yes.",use.social.convetion
Thank you.,use.social.convetion
You're all very welcome to the show.,use.social.convetion
"Oh, so many great guests for you tonight.",use.social.convetion
My sofa's going to be like Theresa May in Parliament this week.,relax.atmosphere
Totally stuffed!,relax.atmosphere
"God love her. On Tuesday, the Prime Minister managed to lose",give.statement
three House of Commons votes in the space of an hour.,give.statement
An hour!,relax.atmosphere
"In one of the debates, things were so bad,",give.opinion
she actually received fewer votes than Noel Edmonds. Yeah!,relax.atmosphere
At least he had the good grace to leave.,relax.atmosphere
"By the way, did you know this? I only found out this week that",give.statement
"I'm A Celebrity, after they make them eat those disgusting things,",give.statement
they have a way of getting the celebrities to vomit.,relax.atmosphere
LAUGHTER,use.social.convetion
"That would work, wouldn't it?",closed.question
HE MAKES A RETCHING NOISE,misc
I do feel a bit…,relax.atmosphere
The government was also found to be in contempt of Parliament,give.statement
over access to legal advice on the Brexit deal.,give.statement
This is the man who gave the advice.,give.statement
There he is. Mm!,relax.atmosphere
"That's the Attorney General, Geoffrey Cox.",give.statement
"Apparently, it's quite unusual to see ""Cox"" addressing Parliament.",give.statement
LAUGHTER,relax.atmosphere
Well…,relax.atmosphere
LAUGHTER AND APPLAUSE,use.social.convetion
Let's get some guests on!,use.social.convetion
CHEERING,use.social.convetion
"Later, we'll have an amazing performance of the new hit single",give.statement
by Mark Ronson featuring Miley Cyrus.,give.statement
CHEERING,use.social.convetion
I know!,relax.atmosphere
And they'll be chatting as well.,give.statement
"But first, he's one of our most-loved chefs and restaurateurs",use.social.convetion
who's published 20 bestselling cook books.,use.social.convetion
"Here to tell us about his latest, Jamie Cooks Italy,",use.social.convetion
please welcome Jamie Oliver!,use.social.convetion
