U,L
"Hi, everyone, I'm Margot Robbie. And I'm Allison Janney.",use.social.convention
BOTH: Welcome to the Graham Norton show!,use.social.convention
Hello! Hello.,use.social.convention
Hey!,use.social.convention
"Oh, thank you very much.",use.social.convention
"Thank you so much. Hello, hello, hello.",use.social.convention
And welcome to you all.,use.social.convention
"Now, I hope you all had a happy Valentine's Day, did you?",closed.question
CHEERING,use.social.convention
Oh! I did. Thanks for asking. Yes.,use.social.convention
"I was woken up in the morning by my loved one, holding a red rose,",recall
desperate to hump me.,relax.atmosphere
LAUGHTER,use.social.convention
True story. Hasn't it been chilly? I say it's been chilly.,closed.question
"It's been cold, hasn't it? Cold! Yes.",closed.question
Colder than a Sex In The City reunion.,relax.atmosphere
And that's chilly!,relax.atmosphere
But perfect weather for the Winter Olympics.,give.opinion
Have you all been watching?,closed.question
ALL: Yes.,respond.agree
Mm. Me neither.,relax.atmosphere
Erm...,relax.atmosphere
Ooh! Pyeongchang!,relax.atmosphere
LAUGHTER,use.social.convention
I didn't know there were six Olympic rings.,give.statement
Now...,give.statement
there have been dangerously high winds at this year's Olympics,give.statement
"and as we learnt recently, even the lightest of winds",give.statement
can cause devastation.,relax.atmosphere
Yes.,give.statement
Let's get some guests on!,use.social.convention
CHEERING,use.social.convention
"Later, will have Latin pop sensation Camila Cabello!",use.social.convention
CHEERING,use.social.convention
"But first, he's Oscar-nominated",use.social.convention
"for his role in the critically acclaimed Get Out,",use.social.convention
and now he's starring in Marvel's latest megahit Black Panther.,use.social.convention
Please welcome Daniel Kaluuya!,use.social.convention
Yay!,use.social.convention
"Hello, sir. You're very welcome.",use.social.convention
Really good to see you.,use.social.convention
Daniel Kaluuya!,use.social.convention
This Swedish actress won an Oscar,use.social.convention
for her role in The Danish Girl,use.social.convention
and now she's kicking ass as Lara Croft in the brand-new,use.social.convention
"Tomb Raider, it's Alicia Vikander!",use.social.convention
Oh!,use.social.convention
"Hello, lovely woman. Hi.",use.social.convention
"Come in, come in, sit down, Alicia.",use.social.convention
"She shot to fame as CJ in The West Wing,",use.social.convention
now she's earned her first Oscar nomination for her standout,use.social.convention
"performance in I, Tonya, it's a pleasure to welcome Allison Janney!",use.social.convention
CHEERING,use.social.convention
"You're like a gift, like an African gift!",use.social.convention
Come in and sit down.,give.statement
"Also Oscar-nominated for her starring role in I, Tonya, this",use.social.convention
Aussie actress is about to become one of the biggest players,use.social.convention
in Hollywood. It's Margot Robbie!,use.social.convention
CHEERING,use.social.convention
Whoo!,use.social.convention
"Hi! Ah, so good to see you. Mwah, mwah.",use.social.convention
"Come in, sit down.",use.social.convention
"Hello, everybody. I tell you, this is a weekend and a half.",use.social.convention
"It's BAFTAs of course, this weekend.",give.statement
Are you all going to the BAFTAs? I am. Yeah. Yeah.,closed.question
I'm not.,respond.deny
"Oh, God!",relax.atmosphere
That's awkward(!),relax.atmosphere
"But we've got to celebrate this sofa, because it is extraordinary.",give.opinion
"So Margot and Allison, both BAFTA and Oscar-nominated for I, Tonya.",give.statement
